id,value,object
Negative,1930,274655
Negative,1930,274656
Negative,1930,274658
Negative,1930,274659
Negative,1930,274660
Negative,1930,274661
Negative,1930,274662
Negative,1930,274663
Negative,1930,274665
Negative,1930,274666
Negative,1930,274668
Negative,1930,274670
Negative,1930,274671
Negative,1930,274672
Negative,1930,274673
Negative,1930,274675
Negative,1930,274683
Negative,1930,274684
Negative,1930,274686
Negative,1930,274689
Negative,1930,274690
Negative,1930,274695
Negative,1930,274700
Negative,1930,274701
Negative,1930,274705
Negative,1930,274708
Negative,1930,274709
Negative,1930,274714
Negative,1930,274715
Negative,1930,274716
Negative,1930,274719
Negative,1930,274723
Negative,1930,274730
Negative,1930,274731
Negative,1930,274735
Negative,1930,274736
Negative,1930,274737
Negative,1930,274738
Negative,1930,274739
Glass negative,1930,274778
Glass negative,1930,274786
Glass negative,1930,274791
Glass negative,1930,274799
Glass negative,1930,274800
Glass negative,1930,274801
Glass negative,1930,274805
Glass negative,1930,274812
Glass negative,1930,274813
Glass negative,1930,274816
Glass negative,1930,274819
Glass negative,1930,274821
Glass negative,1930,274822
Glass negative,1930,274824
Glass negative,1930,274828
Glass negative,1930,274833
Glass negative,1930,274835
Glass negative,1930,274844
